Opened,Name,City,State,City,Address
1/9/2009,"Tanger Outlets, Deer Park",Deer Park,NewYork,LongIsland,"Tanger Outlets, Deer Park, Deer Park, NewYork"
1/8/2009,Valleyview SC - Kamloops,Kamloops,BritishColumbia,EasternBritishColumbia,"Valleyview SC - Kamloops, Kamloops, BritishColumbia"
1/7/2009,19th & Park,New York,NewYork,NewYorkCity,"19th & Park, New York, NewYork"
1/6/2009,US 190 & S Fort Hood St,Killeen,Texas,RemoteMarkets,"US 190 & S Fort Hood St, Killeen, Texas"
12/29/2008,Parker & Lincoln - Parker,Parker,Colorado,Denver,"Parker & Lincoln - Parker, Parker, Colorado"
12/22/2008,Kings Hwy & I-75,Port Charolette,Florida,Naples,"Kings Hwy & I-75, Port Charolette, Florida"
12/22/2008,W 49th St & W 16th Ave,Hialeah,Florida,Miami,"W 49th St & W 16th Ave, Hialeah, Florida"
12/19/2008,Lake Worth Rd & Jog Rd,Greenacres,Florida,PalmBeachCounty,"Lake Worth Rd & Jog Rd, Greenacres, Florida"
12/19/2008,SR 71 & US 290,Austin,Texas,Austin,"SR 71 & US 290, Austin, Texas"
12/18/2008,Newport Village,Calgary,Alberta,Calgary,"Newport Village, Calgary, Alberta"
12/18/2008,North Town Mall 97 St & 137 Ave,Edmonton,Alberta,Edmonton,"North Town Mall 97 St & 137 Ave, Edmonton, Alberta"
12/13/2008,Lincoln & Pennsylvania,Miami Beach,Florida,Miami,"Lincoln & Pennsylvania, Miami Beach, Florida"
12/12/2008,I5 & Cook,Burlington,Washington,Bellingham,"I5 & Cook, Burlington, Washington"
12/12/2008,Mission Gorge & Carlton Hills,Santee,California,SanDiego,"Mission Gorge & Carlton Hills, Santee, California"
12/12/2008,Bermuda Square,Chester,Virginia,Richmond,"Bermuda Square, Chester, Virginia"
12/12/2008,Lancaster & Silverton - Salem,Salem,Oregon,WestCentralOregon,"Lancaster & Silverton - Salem, Salem, Oregon"
12/12/2008,Sunset & Crescent Heights,Los Angeles,California,LosAngeles,"Sunset & Crescent Heights, Los Angeles, California"
12/11/2008,Les Galeries Chagnon,Levin,Quebec,QuebecCity,"Les Galeries Chagnon, Levin, Quebec"
12/11/2008,Bellerose Drive,St. Albert,Alberta,Edmonton,"Bellerose Drive, St. Albert, Alberta"
12/11/2008,Grant & Academy,Philadelphia,Pennsylvania,Philadelphia,"Grant & Academy, Philadelphia, Pennsylvania"
12/11/2008,Shaw Tower,Vancouver,BritishColumbia,Vancouver,"Shaw Tower, Vancouver, BritishColumbia"
12/10/2008,Wurzbach Rd & Gardendale St,San Antonio,Texas,SanAntonio,"Wurzbach Rd & Gardendale St, San Antonio, Texas"
12/9/2008,La Plata Shopping Center,La Plata,Maryland,EasternMaryland,"La Plata Shopping Center, La Plata, Maryland"
12/5/2008,Euclid & Salt Creek Ln,Arlington Heights,Illinois,Chicagoland,"Euclid & Salt Creek Ln, Arlington Heights, Illinois"
12/4/2008,575 Laval Drive,Oshawa,Ontario,Toronto,"575 Laval Drive, Oshawa, Ontario"
12/4/2008,Metral Station - Nanaimo,Nanaimo,BritishColumbia,VancouverIsland,"Metral Station - Nanaimo, Nanaimo, BritishColumbia"
12/4/2008,Erbsville & Laurelwood-Waterloo,Waterloo,Ontario,Toronto,"Erbsville & Laurelwood-Waterloo, Waterloo, Ontario"
12/4/2008,72nd & Sheridan- Westminster,Westminster,Colorado,Denver,"72nd & Sheridan- Westminster, Westminster, Colorado"
12/3/2008,Hwy 3 & Clear Lake City,Webster,Texas,Houston,"Hwy 3 & Clear Lake City, Webster, Texas"
12/3/2008,Olympic & Figueroa (LA LIVE),Los Angeles,California,LosAngeles,"Olympic & Figueroa (LA LIVE), Los Angeles, California"
11/29/2008,Okeechobee Blvd & I-95,West Palm Beach,Florida,PalmBeachCounty,"Okeechobee Blvd & I-95, West Palm Beach, Florida"
11/28/2008,2963 Argentia Rd,Mississauga,Ontario,Toronto,"2963 Argentia Rd, Mississauga, Ontario"
11/27/2008,387 Scott St,St Catharines,Ontario,StCatharines,"387 Scott St, St Catharines, Ontario"
11/27/2008,Broadway & Manitoba,Vancouver,BritishColumbia,Vancouver,"Broadway & Manitoba, Vancouver, BritishColumbia"
11/27/2008,Place Vertu,St Laurent,Quebec,Montreal,"Place Vertu, St Laurent, Quebec"
11/26/2008,Lyons Rd & Wiles Rd,Coconut Creek,Florida,BrowardCounty,"Lyons Rd & Wiles Rd, Coconut Creek, Florida"
11/25/2008,"7th Street & Bell, Phoenix",Phoenix,Arizona,Phoenix,"7th Street & Bell, Phoenix, Phoenix, Arizona"
11/25/2008,The Quarry - East,San Antonio,Texas,SanAntonio,"The Quarry - East, San Antonio, Texas"
11/20/2008,58th & Sixth,New York,NewYork,NewYorkCity,"58th & Sixth, New York, NewYork"
11/20/2008,Tuxedo Park,Winnipeg,Manitoba,,"Tuxedo Park, Winnipeg, Manitoba"
11/20/2008,University Village - Nanaimo,Nanaimo,BritishColumbia,VancouverIsland,"University Village - Nanaimo, Nanaimo, BritishColumbia"
11/18/2008,690 Eagleson Road,Ottawa,Ontario,Ottawa,"690 Eagleson Road, Ottawa, Ontario"
11/17/2008,US Hwy 27 & Cagan Crossings Blvd,Clermont,Florida,Orlando,"US Hwy 27 & Cagan Crossings Blvd, Clermont, Florida"
11/15/2008,SW 120th St & SW 137th Ave,Miami,Florida,Miami,"SW 120th St & SW 137th Ave, Miami, Florida"
11/14/2008,Brighton - W Grand River,Brighton,Michigan,MichiganRemoteMarkets,"Brighton - W Grand River, Brighton, Michigan"
11/14/2008,2880 Major MacKenzie Dr,Markham,Ontario,Toronto,"2880 Major MacKenzie Dr, Markham, Ontario"
11/14/2008,I 45 & 646,League City,Texas,Houston,"I 45 & 646, League City, Texas"
11/14/2008,Hwy 62 & Delta Waters - Medford,Medford,Oregon,SouthernOregon,"Hwy 62 & Delta Waters - Medford, Medford, Oregon"
11/14/2008,Big Beaver and Crooks,Troy,Michigan,Detroit,"Big Beaver and Crooks, Troy, Michigan"
11/14/2008,Weedpatch Hwy & Hwy 58,Bakersfield,California,CentralValley,"Weedpatch Hwy & Hwy 58, Bakersfield, California"
11/13/2008,15 Westney Rd,Ajax,Ontario,Toronto,"15 Westney Rd, Ajax, Ontario"
11/13/2008,Flatiron Market Place Drive,Broomfield,Colorado,Denver,"Flatiron Market Place Drive, Broomfield, Colorado"
11/13/2008,McMurray,McMurray,Pennsylvania,Pittsburgh,"McMurray, McMurray, Pennsylvania"
11/11/2008,I-35 & University,Round Rock,Texas,Austin,"I-35 & University, Round Rock, Texas"
11/7/2008,Kennedy Blvd & S Dakota Ave,Tampa,Florida,Tampa,"Kennedy Blvd & S Dakota Ave, Tampa, Florida"
11/7/2008,Fairview & Cole - Boise,Boise,Idaho,Boise,"Fairview & Cole - Boise, Boise, Idaho"
11/7/2008,"Ina & I-10, Tucson",Tucson,Arizona,Tucson,"Ina & I-10, Tucson, Tucson, Arizona"
11/7/2008,2nd Street & Highland Springs,Beaumont,California,RiversideSanBernardinoCounty,"2nd Street & Highland Springs, Beaumont, California"
11/7/2008,"Greenfield & McKellips, Mesa",Mesa,Arizona,Phoenix,"Greenfield & McKellips, Mesa, Mesa, Arizona"
11/7/2008,Eagle & Franklin - Meridian,Meridian,Idaho,Boise,"Eagle & Franklin - Meridian, Meridian, Idaho"
11/7/2008,US 52 & SR 38,Lafayette,Indiana,IndianaRemoteMarkets,"US 52 & SR 38, Lafayette, Indiana"
11/6/2008,Circle Dr & 8th Street E Indigo,Saskatoon,Saskatchewan,,"Circle Dr & 8th Street E Indigo, Saskatoon, Saskatchewan"
11/6/2008,Bidwell & Hwy 50,Folsom,California,Sacramento,"Bidwell & Hwy 50, Folsom, California"
11/6/2008,Selinsgrove,Selinsgrove,Pennsylvania,PennsylvaniaRemoteMarkets,"Selinsgrove, Selinsgrove, Pennsylvania"
11/5/2008,"16th & Pacific, Yuma",Yuma,Arizona,ArizonaRemoteMarkets,"16th & Pacific, Yuma, Yuma, Arizona"
11/5/2008,1783 Stone Church Rd,Stoney Creek,Ontario,Toronto,"1783 Stone Church Rd, Stoney Creek, Ontario"
11/3/2008,Manatee Ave & 59th St,Bradenton,Florida,SarasotaBradenton,"Manatee Ave & 59th St, Bradenton, Florida"
10/26/2008,OBT & Lancaster,Orlando,Florida,Orlando,"OBT & Lancaster, Orlando, Florida"
10/25/2008,Hwy 77 & E 25th St,Lynn Haven,Florida,Panhandle,"Hwy 77 & E 25th St, Lynn Haven, Florida"
10/24/2008,"4780 S. Maryland Pkwy., Las Vegas",Las Vegas,Nevada,LasVegas,"4780 S. Maryland Pkwy., Las Vegas, Las Vegas, Nevada"
10/24/2008,Montana and Geronimo,El Paso,Texas,ElPaso,"Montana and Geronimo, El Paso, Texas"
10/22/2008,Atascocita & Will Clayton,Houston,Texas,Houston,"Atascocita & Will Clayton, Houston, Texas"
10/21/2008,I-45 & Cypresswood,SPRING,Texas,Houston,"I-45 & Cypresswood, SPRING, Texas"
10/18/2008,Pineridge & Livingston,Naples,Florida,Naples,"Pineridge & Livingston, Naples, Florida"
10/17/2008,96th & Meridian,Indianapolis,Indiana,Indianapolis,"96th & Meridian, Indianapolis, Indiana"
10/17/2008,Canyon Crossing- Frederickson,Frederickson,Washington,Tacoma,"Canyon Crossing- Frederickson, Frederickson, Washington"
10/17/2008,La Cienega & Jefferson,Los Angeles,California,LosAngeles,"La Cienega & Jefferson, Los Angeles, California"
10/17/2008,San Mateo and Haines,Albuquerque,NewMexico,Albuquerque,"San Mateo and Haines, Albuquerque, NewMexico"
10/13/2008,"67th Ave. & Peoria, Glendale",Glendale,Arizona,Phoenix,"67th Ave. & Peoria, Glendale, Glendale, Arizona"
10/10/2008,I-80 & Oliver - Fairfield,Fairfield,California,SolanoCounty,"I-80 & Oliver - Fairfield, Fairfield, California"
10/10/2008,Church St & Vann St,Marietta,Georgia,Atlanta,"Church St & Vann St, Marietta, Georgia"
10/10/2008,1700 W Nursery Rd.,Linthicum Heights,Maryland,Baltimore,"1700 W Nursery Rd., Linthicum Heights, Maryland"
10/10/2008,"32nd St. & Thomas, Phoenix",Phoenix,Arizona,Phoenix,"32nd St. & Thomas, Phoenix, Phoenix, Arizona"
10/10/2008,US 31 & Alto,Kokomo,Indiana,IndianaRemoteMarkets,"US 31 & Alto, Kokomo, Indiana"
10/10/2008,Tower Lane Mall,Airdrie,Alberta,Calgary,"Tower Lane Mall, Airdrie, Alberta"
10/10/2008,Sherman Way & Whitsett,North Hollywood,California,LosAngeles,"Sherman Way & Whitsett, North Hollywood, California"
10/10/2008,Rte 83 & Hook Dr - Round Lake Beach,Round Lake Beach,Illinois,Chicagoland,"Rte 83 & Hook Dr - Round Lake Beach, Round Lake Beach, Illinois"
10/7/2008,FM 1825 & Central Commerce,Pflugerville,Texas,Austin,"FM 1825 & Central Commerce, Pflugerville, Texas"
10/3/2008,Lenoir Rhyne Blvd & I-40,Hickory,NorthCarolina,NorthCarolinaRemoteMarkets,"Lenoir Rhyne Blvd & I-40, Hickory, NorthCarolina"
10/3/2008,"Cuyahoga Falls, Graham & Hudson",Cuyahoga Falls,Ohio,Akron,"Cuyahoga Falls, Graham & Hudson, Cuyahoga Falls, Ohio"
10/3/2008,Wayne Memorial Dr & Hwy 70,Goldsboro,NorthCarolina,NorthCarolinaRemoteMarkets,"Wayne Memorial Dr & Hwy 70, Goldsboro, NorthCarolina"
10/2/2008,1151 Division Street,Kingston,Ontario,KingstonBelleville,"1151 Division Street, Kingston, Ontario"
10/2/2008,South Greenbay & Timber,Racine,Wisconsin,WisconsinRemoteMarkets,"South Greenbay & Timber, Racine, Wisconsin"
9/30/2008,Hwy 377 & Watauga,Haltom City,Texas,DallasFortWorth,"Hwy 377 & Watauga, Haltom City, Texas"
9/30/2008,1604 & Culebra Road,San Antonio,Texas,SanAntonio,"1604 & Culebra Road, San Antonio, Texas"
9/30/2008,Beltline & 635,Irving,Texas,DallasFortWorth,"Beltline & 635, Irving, Texas"
9/30/2008,SR 71 & E Riverside,Austin,Texas,Austin,"SR 71 & E Riverside, Austin, Texas"
9/30/2008,San Pedro & Cypress,San Antonio,Texas,SanAntonio,"San Pedro & Cypress, San Antonio, Texas"
9/29/2008,15810 Pines Blvd,Pembroke Pines,Florida,BrowardCounty,"15810 Pines Blvd, Pembroke Pines, Florida"
9/29/2008,"Highway 86 & 66th Avenue, Mecca",Mecca,California,PalmSprings,"Highway 86 & 66th Avenue, Mecca, Mecca, California"
9/29/2008,Government Way & Neider,Coeur dAlene,Idaho,NorthernIdaho,"Government Way & Neider, Coeur dAlene, Idaho"
9/29/2008,Ellerslie & Parsons,Edmonton,Alberta,Edmonton,"Ellerslie & Parsons, Edmonton, Alberta"
9/29/2008,30th St & Bickford Ave,Snohomish,Washington,Seattle,"30th St & Bickford Ave, Snohomish, Washington"
9/29/2008,Hidden Valley & The 15 Fwy,Norco,California,RiversideSanBernardinoCounty,"Hidden Valley & The 15 Fwy, Norco, California"
9/29/2008,Liberia Ave.,Manassas,Virginia,NorthernVirginia,"Liberia Ave., Manassas, Virginia"
9/29/2008,51 James Snow Parkway,Milton,Ontario,Toronto,"51 James Snow Parkway, Milton, Ontario"
9/29/2008,Nassau & Fulton,New York,NewYork,NewYorkCity,"Nassau & Fulton, New York, NewYork"
9/29/2008,"Oracle & Rudasill-Tucson, AZ",Tucson,Arizona,Tucson,"Oracle & Rudasill-Tucson, AZ, Tucson, Arizona"
9/29/2008,Vista Chino & Landau,Cathedral City,California,PalmSprings,"Vista Chino & Landau, Cathedral City, California"
9/29/2008,Rancho Bernardo & W. Bernardo,San Diego,California,SanDiego,"Rancho Bernardo & W. Bernardo, San Diego, California"
9/27/2008,Bollinger & DeAnza,San Jose,California,SantaClaraCounty,"Bollinger & DeAnza, San Jose, California"
9/26/2008,Kenaston Indigo,Winnipeg,Manitoba,,"Kenaston Indigo, Winnipeg, Manitoba"
9/26/2008,Eastgate - Chapel Hill,Chapel Hill,NorthCarolina,RaleighDurhamChapelHill,"Eastgate - Chapel Hill, Chapel Hill, NorthCarolina"
9/26/2008,Strachan Road,Medicine Hat,Alberta,AlbertaRemoteMarkets,"Strachan Road, Medicine Hat, Alberta"
9/26/2008,Topanga Canyon & Dumetz,Woodland Hills,California,LosAngeles,"Topanga Canyon & Dumetz, Woodland Hills, California"
9/25/2008,Horseshoe Bay,West Vancouver,BritishColumbia,Vancouver,"Horseshoe Bay, West Vancouver, BritishColumbia"
9/25/2008,Graham & Kennedy,Winnipeg,Manitoba,,"Graham & Kennedy, Winnipeg, Manitoba"
9/25/2008,Whitehouse Station,Whitehouse Station,NewJersey,,"Whitehouse Station, Whitehouse Station, NewJersey"
9/22/2008,Portsmouth,Portsmouth,Virginia,ChesapeakeBayRegion,"Portsmouth, Portsmouth, Virginia"
9/20/2008,Little Rd & Ranch Del Rio,New Port Richey,Florida,Tampa,"Little Rd & Ranch Del Rio, New Port Richey, Florida"
9/18/2008,20 Innovation Dr,Vaughan,Ontario,Toronto,"20 Innovation Dr, Vaughan, Ontario"
9/18/2008,Franklin & Hwy 99 - Yuba City,Yuba City,California,NorthernCalifornia,"Franklin & Hwy 99 - Yuba City, Yuba City, California"
9/18/2008,Scotia Centre,Calgary,Alberta,Calgary,"Scotia Centre, Calgary, Alberta"
9/12/2008,Bourbonnais-Main & Latham,Bourbonnais,Illinois,IllinoisRemoteMarkets,"Bourbonnais-Main & Latham, Bourbonnais, Illinois"
9/12/2008,Grand & Green Bay Rd. - Waukegan,Waukegan,Illinois,Chicagoland,"Grand & Green Bay Rd. - Waukegan, Waukegan, Illinois"
9/12/2008,412 Constant Friendship Blvd,Abingdon,Maryland,Baltimore,"412 Constant Friendship Blvd, Abingdon, Maryland"
9/12/2008,University &Wellington,Toronto,Ontario,Toronto,"University &Wellington, Toronto, Ontario"
9/10/2008,Union & Yosemite - Manteca,Manteca,California,ModestoStockton,"Union & Yosemite - Manteca, Manteca, California"
9/5/2008,Milwaukee & Greggs Pkwy,Vernon Hills,Illinois,Chicagoland,"Milwaukee & Greggs Pkwy, Vernon Hills, Illinois"
9/5/2008,"Clairemont & Balboa, San Diego",San Diego,California,SanDiego,"Clairemont & Balboa, San Diego, San Diego, California"
8/30/2008,"Hoboken, Washington St.",Hoboken,NewJersey,,"Hoboken, Washington St., Hoboken, NewJersey"
8/29/2008,505 McNeely Road,Carleton Place,Ontario,Ottawa,"505 McNeely Road, Carleton Place, Ontario"
8/29/2008,50 Rideau Centre,Ottawa,Ontario,Ottawa,"50 Rideau Centre, Ottawa, Ontario"
8/29/2008,Queen & Bathurst,Toronto,Ontario,Toronto,"Queen & Bathurst, Toronto, Ontario"
8/29/2008,Somersville & Delta Fair,Antioch,California,ContraCostaCounty,"Somersville & Delta Fair, Antioch, California"
8/29/2008,New City,New City,NewYork,WestchesterCounty,"New City, New City, NewYork"
8/28/2008,3940 Brock St N,Whitby,Ontario,Toronto,"3940 Brock St N, Whitby, Ontario"
8/28/2008,129 Pedersen Dr,Aurora,Ontario,Toronto,"129 Pedersen Dr, Aurora, Ontario"
8/22/2008,Kendall Dr & 162nd Ave,Miami,Florida,Miami,"Kendall Dr & 162nd Ave, Miami, Florida"
8/22/2008,Florin & Stockton,Sacramento,California,Sacramento,"Florin & Stockton, Sacramento, California"
8/22/2008,E Broadway & Scotia,Vancouver,BritishColumbia,Vancouver,"E Broadway & Scotia, Vancouver, BritishColumbia"
8/19/2008,Highway 16 & 75 Street,Lloydminster,Alberta,AlbertaRemoteMarkets,"Highway 16 & 75 Street, Lloydminster, Alberta"
8/15/2008,Curtner & Monterey,San Jose,California,SantaClaraCounty,"Curtner & Monterey, San Jose, California"
8/15/2008,340 Albert Street,Ottawa,Ontario,Ottawa,"340 Albert Street, Ottawa, Ontario"
8/15/2008,Frank Phillips & US 75,Bartlesville,Oklahoma,OklahomaRemoteMarkets,"Frank Phillips & US 75, Bartlesville, Oklahoma"
8/15/2008,Vineyard & Holt,Ontario,California,RiversideSanBernardinoCounty,"Vineyard & Holt, Ontario, California"
8/15/2008,"Tefft & Mary, Nipomo",Nipomo,California,CentralCoast,"Tefft & Mary, Nipomo, Nipomo, California"
8/14/2008,Yosemite & Claus - Modesto,Modesto,California,ModestoStockton,"Yosemite & Claus - Modesto, Modesto, California"
8/13/2008,McKinley & Griffin,Corona,California,RiversideSanBernardinoCounty,"McKinley & Griffin, Corona, California"
8/11/2008,Wytheville,Wytheville,Virginia,VirginiaRemoteMarkets,"Wytheville, Wytheville, Virginia"
8/9/2008,Amb. Caffery Pkwy & Settlers Trace,Lafayette,Louisiana,Lafayette,"Amb. Caffery Pkwy & Settlers Trace, Lafayette, Louisiana"
8/8/2008,"Bethel, Big Y Plaza",Bethel,Connecticut,SouthernConnecticut,"Bethel, Big Y Plaza, Bethel, Connecticut"
8/8/2008,"Crenshaw & Washington, Los Angeles",Los Angeles,California,LosAngeles,"Crenshaw & Washington, Los Angeles, Los Angeles, California"
8/8/2008,83rd Ave & Steilacoom Blvd,Lakewood,Washington,Tacoma,"83rd Ave & Steilacoom Blvd, Lakewood, Washington"
8/7/2008,"70 Copper Creek Dr, Bldg H",Markham,Ontario,Toronto,"70 Copper Creek Dr, Bldg H, Markham, Ontario"
8/7/2008,Short Pump Pad,Short Pump,Virginia,Richmond,"Short Pump Pad, Short Pump, Virginia"
8/4/2008,"Garden City, Stewart Avenue",Garden City,NewYork,LongIsland,"Garden City, Stewart Avenue, Garden City, NewYork"
8/2/2008,"Eagle Rock & York, Eagle Rock",Los Angeles,California,LosAngeles,"Eagle Rock & York, Eagle Rock, Los Angeles, California"
8/1/2008,"Hageman & Calloway, Bakersfield",Bakersfield,California,CentralValley,"Hageman & Calloway, Bakersfield, Bakersfield, California"
8/1/2008,125th St. btwn Adam Clayton & FDB,New York,NewYork,NewYorkCity,"125th St. btwn Adam Clayton & FDB, New York, NewYork"
8/1/2008,"University & Espina, Las Cruces",Las Cruces,NewMexico,LasCruces,"University & Espina, Las Cruces, Las Cruces, NewMexico"
8/1/2008,"Saugus, Route 1 Northbound",Saugus,Massachusetts,Boston,"Saugus, Route 1 Northbound, Saugus, Massachusetts"
8/1/2008,West Babylon,West Babylon,NewYork,LongIsland,"West Babylon, West Babylon, NewYork"
7/31/2008,Downtown Beaver,Beaver,Pennsylvania,Pittsburgh,"Downtown Beaver, Beaver, Pennsylvania"
7/31/2008,10 Disera Dr,Vaughan,Ontario,Toronto,"10 Disera Dr, Vaughan, Ontario"
7/31/2008,Sawgrass Rd & Lyons Rd,Coconut Creek,Florida,BrowardCounty,"Sawgrass Rd & Lyons Rd, Coconut Creek, Florida"
7/31/2008,Yonge & Eglinton- Minto Tower,Toronto,Ontario,Toronto,"Yonge & Eglinton- Minto Tower, Toronto, Ontario"
7/31/2008,Roselle & Main,Roselle,Illinois,Chicagoland,"Roselle & Main, Roselle, Illinois"
7/30/2008,Mowry & I880,Fremont,California,AlamedaCounty,"Mowry & I880, Fremont, California"
7/28/2008,McClellan Hwy & Boardman St.,East Boston,Massachusetts,Boston,"McClellan Hwy & Boardman St., East Boston, Massachusetts"
7/28/2008,41 Fashion Drive,Saint John,NewBrunswick,,"41 Fashion Drive, Saint John, NewBrunswick"
7/27/2008,Bow Valley Square,Calgary,Alberta,Calgary,"Bow Valley Square, Calgary, Alberta"
7/26/2008,3737 Major Mackenzie Dr,Vaughan,Ontario,Toronto,"3737 Major Mackenzie Dr, Vaughan, Ontario"
7/25/2008,"Central & Acacia, Glendale",Glendale,California,LosAngeles,"Central & Acacia, Glendale, Glendale, California"
7/25/2008,The Rise-Cambie & W 8th,Vancouver,BritishColumbia,Vancouver,"The Rise-Cambie & W 8th, Vancouver, BritishColumbia"
7/25/2008,SouthCenter Mall East,Seattle,Washington,Seattle,"SouthCenter Mall East, Seattle, Washington"
7/24/2008,Westgate Plaza,Rochester,NewYork,Rochester,"Westgate Plaza, Rochester, NewYork"
7/18/2008,London Towne Square,Calgary,Alberta,Calgary,"London Towne Square, Calgary, Alberta"
7/18/2008,"Cecil & Hwy 99, Delano",Delano,California,CentralValley,"Cecil & Hwy 99, Delano, Delano, California"
7/18/2008,Hwy 410 & 214th - Bonney Lake,Bonney Lake,Washington,Tacoma,"Hwy 410 & 214th - Bonney Lake, Bonney Lake, Washington"
7/18/2008,Macy`s Center City,Philadelphia,Pennsylvania,Philadelphia,"Macy`s Center City, Philadelphia, Pennsylvania"
7/18/2008,"100 Trainyards Drive, Unit 14A",Ottawa,Ontario,Ottawa,"100 Trainyards Drive, Unit 14A, Ottawa, Ontario"
7/18/2008,"Nesconset, Smithtown Blvd.",Nesconset,NewYork,LongIsland,"Nesconset, Smithtown Blvd., Nesconset, NewYork"
7/17/2008,1 Hespeler Rd,Cambridge,Ontario,Toronto,"1 Hespeler Rd, Cambridge, Ontario"
7/17/2008,1981 Parkdale Ave. Unit D,Brockville,Ontario,OntarioRemoteMarkets,"1981 Parkdale Ave. Unit D, Brockville, Ontario"
7/17/2008,"Winchester & Nicholas, Temecula",Temecula,California,RiversideSanBernardinoCounty,"Winchester & Nicholas, Temecula, Temecula, California"
7/14/2008,Douglas & Maple,El Segundo,California,LosAngeles,"Douglas & Maple, El Segundo, California"
7/14/2008,"Warwick, Airport Rd",WARWICK,RhodeIsland,,"Warwick, Airport Rd, WARWICK, RhodeIsland"
7/11/2008,Lake Forest & Dimension,Lake Forest,California,RiversideSanBernardinoCounty,"Lake Forest & Dimension, Lake Forest, California"
7/11/2008,"Parker & Iliff, Aurora",Aurora,Colorado,Denver,"Parker & Iliff, Aurora, Aurora, Colorado"
7/10/2008,265 Wharncliffe Rd N,London,Ontario,LondonON,"265 Wharncliffe Rd N, London, Ontario"
7/10/2008,1100 Wilson St W,Ancaster,Ontario,Toronto,"1100 Wilson St W, Ancaster, Ontario"
7/8/2008,36th & May,Oklahoma City,Oklahoma,OklahomaCity,"36th & May, Oklahoma City, Oklahoma"
7/5/2008,Tinley Park-159th & Harlem,Tinley Park,Illinois,Chicagoland,"Tinley Park-159th & Harlem, Tinley Park, Illinois"
7/3/2008,294 Louisa St,Parry Sound,Ontario,OntarioRemoteMarkets,"294 Louisa St, Parry Sound, Ontario"
7/3/2008,International & Zinfandel - RC,Rancho Cordova,California,Sacramento,"International & Zinfandel - RC, Rancho Cordova, California"
7/3/2008,Avenue I & 20th St West,Lancaster,California,LosAngeles,"Avenue I & 20th St West, Lancaster, California"
7/2/2008,Wickham Rd & Baymeadows Blvd,Melbourne,Florida,TreasureCoast,"Wickham Rd & Baymeadows Blvd, Melbourne, Florida"
7/2/2008,Sixes Rd & Ridge Rd,Canton,Georgia,Atlanta,"Sixes Rd & Ridge Rd, Canton, Georgia"
7/1/2008,Departure Bay Ferry Terminal,Nanaimo,BritishColumbia,VancouverIsland,"Departure Bay Ferry Terminal, Nanaimo, BritishColumbia"
7/1/2008,Cranbrook,Cranbrook,BritishColumbia,EasternBritishColumbia,"Cranbrook, Cranbrook, BritishColumbia"
6/27/2008,Hwy 401 & Purfoy Rd,Fuquay-Varina,NorthCarolina,RaleighDurhamChapelHill,"Hwy 401 & Purfoy Rd, Fuquay-Varina, NorthCarolina"
6/27/2008,Laird and Kenrae,Toronto,Ontario,Toronto,"Laird and Kenrae, Toronto, Ontario"
6/27/2008,Arundel Preserve,Hanover,Maryland,Baltimore,"Arundel Preserve, Hanover, Maryland"
6/27/2008,Denville Plaza,Denville,NewJersey,,"Denville Plaza, Denville, NewJersey"
6/27/2008,4th & Diagonal-Seattle,Seattle,Washington,Seattle,"4th & Diagonal-Seattle, Seattle, Washington"
6/27/2008,"Hwy 111 & Jefferson, La Quinta",La Quinta,California,PalmSprings,"Hwy 111 & Jefferson, La Quinta, La Quinta, California"
6/27/2008,Front Royal,Front Royal,Virginia,VirginiaRemoteMarkets,"Front Royal, Front Royal, Virginia"
6/27/2008,Oak Lawn-95th & Oak Park,Oak Lawn,Illinois,Chicagoland,"Oak Lawn-95th & Oak Park, Oak Lawn, Illinois"
6/27/2008,MLK Way & Graham - Seattle,Seattle,Washington,Seattle,"MLK Way & Graham - Seattle, Seattle, Washington"
6/26/2008,Hwy 381 & Hwy 92,Dallas,Georgia,Atlanta,"Hwy 381 & Hwy 92, Dallas, Georgia"
6/21/2008,200 Crandon Blvd,Key Biscayne,Florida,Miami,"200 Crandon Blvd, Key Biscayne, Florida"
6/20/2008,"Cerrillos & Zafarano, Santa Fe",Santa Fe,NewMexico,SantaFe,"Cerrillos & Zafarano, Santa Fe, Santa Fe, NewMexico"
6/20/2008,40th & Colorado-Denver,Denver,Colorado,Denver,"40th & Colorado-Denver, Denver, Colorado"
6/20/2008,24th & 7th,New York,NewYork,NewYorkCity,"24th & 7th, New York, NewYork"
6/19/2008,Limerick Crossing S.C.,Limerick,Pennsylvania,PennsylvaniaRemoteMarkets,"Limerick Crossing S.C., Limerick, Pennsylvania"
6/19/2008,North Wales,North Wales,Pennsylvania,Philadelphia,"North Wales, North Wales, Pennsylvania"
6/19/2008,Westwood Plateau Village,Coquitlam,BritishColumbia,Vancouver,"Westwood Plateau Village, Coquitlam, BritishColumbia"
6/19/2008,Monte Vista & Hwy 99,Turlock,California,ModestoStockton,"Monte Vista & Hwy 99, Turlock, California"
6/18/2008,Lougheed & Holdom,Burnaby,BritishColumbia,Vancouver,"Lougheed & Holdom, Burnaby, BritishColumbia"
6/14/2008,Hialeah Gardens & W 76 St,Hialeah,Florida,Miami,"Hialeah Gardens & W 76 St, Hialeah, Florida"
6/13/2008,2nd Street & C Street- Washougal,Washougal,Washington,SouthwesternWashington,"2nd Street & C Street- Washougal, Washougal, Washington"
6/13/2008,Government & Fisgard,Victoria,BritishColumbia,VancouverIsland,"Government & Fisgard, Victoria, BritishColumbia"
