Opened,Name,City,State,City,Address
5/18/2017,Lankershim & Erwin,North Hollywood,California,LosAngeles,"Lankershim & Erwin, North Hollywood, California"
5/18/2017,Prospect & Henderson,Porterville,California,CentralValley,"Prospect & Henderson, Porterville, California"
5/16/2017,1709 & Rufe Snow Drive,Keller,Texas,DallasFortWorth,"1709 & Rufe Snow Drive, Keller, Texas"
5/15/2017,1604 & Huebner,San Antonio,Texas,SanAntonio,"1604 & Huebner, San Antonio, Texas"
5/15/2017,Sunrise Blvd & University Dr,Plantation,Florida,BrowardCounty,"Sunrise Blvd & University Dr, Plantation, Florida"
5/11/2017,Grand & Foothill,Glendora,California,LosAngeles,"Grand & Foothill, Glendora, California"
5/11/2017,1509 East Lincoln Highway,Langhorne,Pennsylvania,Philadelphia,"1509 East Lincoln Highway, Langhorne, Pennsylvania"
5/11/2017,Cliffside Plaza D/T,Toronto,Ontario,Toronto,"Cliffside Plaza D/T, Toronto, Ontario"
5/11/2017,Beavercreek-Indian Ripple & Stroop,Beavercreek,Ohio,Dayton,"Beavercreek-Indian Ripple & Stroop, Beavercreek, Ohio"
5/11/2017,Hillcrest Mall,Toronto,Ontario,Toronto,"Hillcrest Mall, Toronto, Ontario"
5/11/2017,Topanga Canyon and Gault,Canoga Park,California,LosAngeles,"Topanga Canyon and Gault, Canoga Park, California"
5/10/2017,Hwy 46 & Golden Hill Road,Paso Robles,California,CentralCoast,"Hwy 46 & Golden Hill Road, Paso Robles, California"
5/6/2017,Central at Garden City,Richmond,BritishColumbia,Vancouver,"Central at Garden City, Richmond, BritishColumbia"
5/5/2017,Mic Mac Mall,Dartmouth,NovaScotia,,"Mic Mac Mall, Dartmouth, NovaScotia"
5/5/2017,Colony & Panama,Bakersfield,California,CentralValley,"Colony & Panama, Bakersfield, California"
5/5/2017,Hicksville-Broadway Mall,Hicksville,NewYork,LongIsland,"Hicksville-Broadway Mall, Hicksville, NewYork"
5/5/2017,Halifax,Halifax,NovaScotia,,"Halifax, Halifax, NovaScotia"
5/5/2017,Peterborough,Peterborough,Ontario,OntarioRemoteMarkets,"Peterborough, Peterborough, Ontario"
5/5/2017,Pointe-Claire,Pointe-Claire,Quebec,Montreal,"Pointe-Claire, Pointe-Claire, Quebec"
5/5/2017,St. John`s,St. John's,Newfoundland,,"St. John`s, St. John's, Newfoundland"
5/5/2017,Thunder Bay,Thunder Bay,Ontario,OntarioRemoteMarkets,"Thunder Bay, Thunder Bay, Ontario"
5/5/2017,Sudbury,Sudbury,Ontario,OntarioRemoteMarkets,"Sudbury, Sudbury, Ontario"
5/5/2017,Oshawa Centre 1135,Oshawa,Ontario,Toronto,"Oshawa Centre 1135, Oshawa, Ontario"
5/5/2017,Victoria,Victoria,BritishColumbia,VancouverIsland,"Victoria, Victoria, BritishColumbia"
5/5/2017,Moncton,Dieppe,NewBrunswick,,"Moncton, Dieppe, NewBrunswick"
5/5/2017,Regent Mall Fredericton,Fredericton,NewBrunswick,,"Regent Mall Fredericton, Fredericton, NewBrunswick"
5/4/2017,Hwy 41 & Watson,Henderson,Kentucky,KentuckyRemoteMarkets,"Hwy 41 & Watson, Henderson, Kentucky"
5/4/2017,Torrance & Western,Torrance,California,LosAngeles,"Torrance & Western, Torrance, California"
5/4/2017,W Bernardo Dr & Duenda Road,San Diego,California,SanDiego,"W Bernardo Dr & Duenda Road, San Diego, California"
5/3/2017,Outlet Collection at Winnipeg,Winnipeg,Manitoba,,"Outlet Collection at Winnipeg, Winnipeg, Manitoba"
5/3/2017,W. Oglethorpe and Brantley,Hinesville,Georgia,GeorgiaRemoteMarkets,"W. Oglethorpe and Brantley, Hinesville, Georgia"
5/1/2017,Charleston & Lamb,Las Vegas,Nevada,LasVegas,"Charleston & Lamb, Las Vegas, Nevada"
5/1/2017,Hwy. 95 & Kiowa,Lake Havasu City,Arizona,ArizonaRemoteMarkets,"Hwy. 95 & Kiowa, Lake Havasu City, Arizona"
4/28/2017,Dakota Crossing,Washington,WashingtonDC,WashingtonDC,"Dakota Crossing, Washington, WashingtonDC"
4/27/2017,888 Danforth Avenue,Toronto,Ontario,Toronto,"888 Danforth Avenue, Toronto, Ontario"
4/21/2017,Christiana Mall - Macys L1,Newark,Delaware,,"Christiana Mall - Macys L1, Newark, Delaware"
4/21/2017,Battleground Ave at Edney Ridge Rd,Greensboro,NorthCarolina,Greensboro,"Battleground Ave at Edney Ridge Rd, Greensboro, NorthCarolina"
4/21/2017,Carson & Wimington,Carson,California,LosAngeles,"Carson & Wimington, Carson, California"
4/21/2017,15th & 7th,New York,NewYork,NewYorkCity,"15th & 7th, New York, NewYork"
4/21/2017,World Trade Center Oculus,New York,NewYork,NewYorkCity,"World Trade Center Oculus, New York, NewYork"
4/21/2017,North Expressway and Highway 92,Griffin,Georgia,Atlanta,"North Expressway and Highway 92, Griffin, Georgia"
4/21/2017,Orlando Premium Vineland,Orlando,Florida,Orlando,"Orlando Premium Vineland, Orlando, Florida"
4/21/2017,"Portsmouth, Southgate Plaza",Portsmouth,NewHampshire,,"Portsmouth, Southgate Plaza, Portsmouth, NewHampshire"
4/21/2017,S. College and Donahue,Auburn,Alabama,AlabamaRemoteMarkets,"S. College and Donahue, Auburn, Alabama"
4/21/2017,West Broad St at Gayton Rd,Glen Allen,Virginia,Richmond,"West Broad St at Gayton Rd, Glen Allen, Virginia"
4/20/2017,Mahwah Rt 17,Mahwah,NewJersey,,"Mahwah Rt 17, Mahwah, NewJersey"
4/20/2017,Hwy 219 & Arney Rd,Woodburn,Oregon,WestCentralOregon,"Hwy 219 & Arney Rd, Woodburn, Oregon"
4/20/2017,Hawthorne & 182nd,Torrance,California,LosAngeles,"Hawthorne & 182nd, Torrance, California"
4/20/2017,I-75 and W. Main,Troy,Ohio,Dayton,"I-75 and W. Main, Troy, Ohio"
4/20/2017,Fremont - E 23rd & Yager,Fremont,Nebraska,,"Fremont - E 23rd & Yager, Fremont, Nebraska"
4/20/2017,Pacific Link,Surrey,BritishColumbia,Vancouver,"Pacific Link, Surrey, BritishColumbia"
